"season","team_score","opponent_team_score","assists","blocks","defensive_rebounds","offensive_rebounds","two_point_field_goal_pct","two_point_field_goals_attempted","three_point_field_goal_pct","three_point_field_goals_attempted","turnovers","free_throw_pct","free_throws_attempted","wins","losses","team_display_name","conf","mov","ortg","drtg","nrtg","mov.a","ortg.a","drtg.a","nrtg.a","playoffs_flag"
2003,92.1341463414634,92.2560975609756,21.6463414634146,3.59756097560976,29.0853658536585,11.7439024390244,0.459423808430234,64.7317073170732,34.9975609756098,15.7439024390244,13.2317073170732,74.790243902439,21.7073170731707,40,42,"Seattle SuperSonics","W",-0.12,104.48,104.63,-0.14,0.37,104.64,104.25,0.4,0
2003,94.6585365853659,92.2682926829268,25.6463414634146,5.69512195121951,29.0365853658537,12.4512195121951,0.483404896983063,67.6585365853659,34.7463414634146,7.81707317073171,16.7560975609756,74.4207317073171,28.6463414634146,47,35,"Utah Jazz","W",2.39,106.46,103.59,2.87,2.77,106.58,103.3,3.27,1
2003,91.4878048780488,92.5,19.6585365853659,4.75609756097561,29.2073170731707,11.1829268292683,0.460158138628226,68.0853658536585,30.059756097561,9.89024390243902,13.3536585365854,77.8329268292683,25.3292682926829,37,45,"Washington Wizards","E",-1.01,103.82,105.06,-1.25,-1.47,103.75,105.49,-1.74,0
2003,90.890243902439,96.7073170731707,19.3048780487805,4.78048780487805,28.719512195122,12.4756097560976,0.445927509635356,66.719512195122,33.980487804878,14.5487804878049,14.4024390243902,72.0365853658537,22.9146341463415,24,58,"Toronto Raptors","E",-5.87,101.37,107.99,-6.62,-6.09,101.36,108.21,-6.85,0
2003,97.5,100.731707317073,23.0731707317073,6.09756097560976,30.0731707317073,11.5,0.474026679111525,66.6341463414634,36.3756097560976,15.5975609756098,15.390243902439,74.6036585365854,23.609756097561,28,54,"Memphis Grizzlies","W",-3.23,104.47,108.08,-3.62,-2.59,104.79,107.71,-2.92,0
2003,93.890243902439,91.780487804878,22.0365853658537,4.80487804878049,30.1829268292683,13.3780487804878,0.447047259310531,68.5365853658537,38.3768292682927,13.109756097561,14.780487804878,76.7085365853658,23.2926829268293,47,35,"New Orleans Hornets","E",2.11,104.61,102.28,2.33,1.52,104.36,102.68,1.69,1
2003,94.9024390243902,100.085365853659,21.7317073170732,5.6219512195122,30.9878048780488,12.0121951219512,0.463521437352124,69.719512195122,34.2451219512195,12.1585365853659,16.9268292682927,72.5487804878049,24.5609756097561,30,52,"Chicago Bulls","E",-5.13,101.03,106.3,-5.27,-5.3,100.99,106.45,-5.47,0
2003,91.4024390243902,101.024390243902,20.8780487804878,6.35365853658537,31,13.6341463414634,0.438618302750204,71.3414634146341,30.3658536585366,10.9268292682927,18.3048780487805,74.6390243902439,24.5365853658537,17,65,"Cleveland Cavaliers","E",-9.62,97.25,107.48,-10.23,-9.58,97.25,107.45,-10.2,0
2003,102.975609756098,95.1951219512195,22.4024390243902,5.47560975609756,31.0243902439024,11.1219512195122,0.474791086309819,64.8048780487805,37.7585365853659,20.3414634146341,11.5731707317073,82.7829268292683,21.8658536585366,60,22,"Dallas Mavericks","W",7.78,111.43,102.89,8.54,7.91,111.52,102.85,8.67,1
2003,84.1585365853659,92.4390243902439,21.1829268292683,5.14634146341463,28.8170731707317,13.5609756097561,0.432035644426519,69.7560975609756,26.5439024390244,10.0487804878049,18.4634146341463,69.3621951219512,22.5609756097561,17,65,"Denver Nuggets","W",-8.28,93.2,102.26,-9.06,-7.41,93.22,101.33,-8.11,0
2003,91.3658536585366,87.6829268292683,19.7560975609756,5.70731707317073,29.8170731707317,10.7682926829268,0.453856040101081,58.4024390243902,35.8560975609756,18.1463414634146,13.4634146341463,76.7317073170732,24.6463414634146,50,32,"Detroit Pistons","E",3.68,104.84,100.71,4.14,2.98,104.48,101.11,3.36,1
2003,102.426829268293,103.573170731707,20.8780487804878,6.17073170731707,31.0487804878049,15.6585365853659,0.463198246267632,69.5853658536585,34.1292682926829,15.0609756097561,15.7926829268293,77.9621951219512,29.0487804878049,38,44,"Golden State Warriors","W",-1.13,109.01,110.1,-1.09,-0.59,109.45,109.96,-0.51,0
