,team_abbreviation,season,age,player_height,player_weight,draft_number
186,DEN,2010-11,26.78571429,202.8371429,105.2657434,15
187,DEN,2011-12,26,202.5226667,100.5764661,18.91666667
188,DEN,2012-13,25,202.8613333,99.48784533,17.84615385
189,DEN,2013-14,25.71428571,200.4785714,99.66064229,19.92307692
190,DEN,2014-15,25.66666667,198.1088889,97.99384711,24.875
191,DEN,2015-16,25.4375,200.50125,98.032571,25.78571429
192,DEN,2016-17,26.35294118,201.7058824,101.2310616,20.3125
193,DEN,2017-18,26.70588235,200.9588235,99.63014871,24.1875
194,DEN,2018-19,25.55555556,200.0955556,97.16948622,31.46666667
195,DEN,2019-20,25.47058824,202.0047059,102.3250188,33.07692308
196,DEN,2020-21,26.55555556,199.6722222,99.31144844,28.91666667
197,DEN,2021-22,27.2,196.977,96.9099308,28.71428571
198,DEN,2022-23,27.4375,200.3425,102.341695,24.57142857
199,DET,1996-97,27.85714286,199.5714286,100.1790331,23.15384615
200,DET,1997-98,27.78571429,201.5671429,103.0625823,22.35714286
201,DET,1998-99,27.47058824,200.0623529,99.92364941,20.375
202,DET,1999-00,28.35714286,201.0228571,100.8270217,16.7
203,DET,2000-01,27.78571429,199.0271429,98.62386057,16.66666667
204,DET,2001-02,28.46666667,200.9986667,101.3929317,23.66666667
205,DET,2002-03,29.46666667,200.4906667,98.82257707,24.81818182
206,DET,2003-04,28,202.0276923,102.3373335,18
207,DET,2004-05,28.66666667,200.9986667,102.0582,10.4
208,DET,2005-06,28.4,200.8293333,101.0300581,20
209,DET,2006-07,28.73333333,200.4906667,100.9393397,21.42857143
210,DET,2007-08,28.26666667,201.5066667,98.82257707,19.21428571
211,DET,2008-09,27.76923077,200.66,100.4182905,17.63636364
212,DET,2009-10,27.42857143,201.0228571,100.1466337,16.27272727
213,DET,2010-11,27.84615385,202.2230769,100.4182905,14.09090909
214,DET,2011-12,27.57142857,200.1157143,98.13786914,24.81818182
215,DET,2012-13,25.92857143,200.66,102.0582,21.81818182
216,DET,2013-14,26.06666667,199.644,100.4555083,22
217,DET,2014-15,27.46666667,199.644,99.03425333,20.45454545
218,DET,2015-16,26.33333333,200.66,102.3001157,27.08333333
219,DET,2016-17,25.93333333,202.0146667,103.418976,23.33333333
220,DET,2017-18,26.77777778,197.4144444,98.02627111,23.72727273
221,DET,2018-19,27.47058824,197.8211765,97.41555247,27.75
222,DET,2019-20,25.47368421,196.7831579,93.39220547,24.21428571
223,DET,2020-21,24.29411765,198.4188235,98.26937271,22.8
224,DET,2021-22,24.52,197.612,96.03449824,28.88235294
225,DET,2022-23,24.68421053,199.4568421,98.45333726,17.61538462
226,GS,1996-97,26.28571429,199.7528571,97.749076,18.33333333
227,GS,1997-98,27.0625,198.12,99.960337,13.61538462
228,GS,1998-99,29,198.9015385,100.1391569,13.09090909
229,GS,1999-00,27.83333333,201.93,102.0078009,18.06666667
230,GS,2000-01,27.45,200.279,100.4025892,19.6875
